smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
O=C(NC(C(=O)NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1)c1ccccc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,84834,0,10,-160.5931854248047,0.0,1,240690,26708129,NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1,2238634,O=C(NC(C(=O)O)c1ccccc1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,,
CCOc1nc2cccc(C(=O)N(N)C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,85244,1,157,-160.5041961669922,-160.5041961669922,1,22,140,NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)N(N)C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C(C)C,84813,1,2,-160.06312561035156,-160.06312561035156,1,22,140,NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4020798,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)O)C(C)C,,
O=C(NCc1cccc(-n2cc(CNC(=O)c3n[nH]cc3[N+](=O)[O-])nn2)c1)c1n[nH]cc1[N+](=O)[O-],84832,1,9,-159.96133422851562,-159.96133422851562,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,69754,O=C(O)c1n[nH]cc1[N+](=O)[O-],69754.0,O=C(O)c1n[nH]cc1[N+](=O)[O-]
O=C(NCc1cccc(-n2cc(CNC(=O)c3cc([N+](=O)[O-])ccc3-n3cnnn3)nn2)c1)c1c[nH]nn1,84947,1,50,-159.92005920410156,-159.92005920410156,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,417953,O=C(O)c1c[nH]nn1,8239099.0,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1
O=C(NCc1cn(-c2cccc(CNC(=O)c3cc([N+](=O)[O-])ccc3-n3cnnn3)c2)nn1)c1c[nH]nn1,84948,0,50,-159.81834411621094,0.0,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,8239099,O=C(O)c1cc([N+](=O)[O-])ccc1-n1cnnn1,417953.0,O=C(O)c1c[nH]nn1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C(C)C,84814,0,2,-159.81394958496094,0.0,1,22,140,NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4020798,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)O)C(C)C,,
CCOc1nc2cccc(C(=O)NNC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,85245,0,157,-159.54884338378906,0.0,1,22,140,NNC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
CCOc1nc2cccc(C(=O)N(N)C(=O)c3cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,86022,1,443,-159.52767944335938,-159.52767944335938,1,22,8617323,Cc1c([N+](=O)[O-])cc(C(=O)NN)cc1[N+](=O)[O-],4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
O=C(NCC1COCC1n1cc(CNC(=O)c2[nH]n(-c3ccc([N+](=O)[O-])cc3)c(=O)c2CCO)nn1)c1n[nH]cc1[N+](=O)[O-],84911,1,38,-159.50953674316406,-159.50953674316406,1,275592,26057533,CC(C)(C)OC(=O)NCC1COCC1n1cc(CN)nn1,2020049,O=C(O)c1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1CCO,69754.0,O=C(O)c1n[nH]cc1[N+](=O)[O-]
O=C(NCc1cn(C2COCC2CNC(=O)c2[nH]n(-c3ccc([N+](=O)[O-])cc3)c(=O)c2CCO)nn1)c1n[nH]cc1[N+](=O)[O-],84912,0,38,-159.50421142578125,0.0,1,275592,26057533,CC(C)(C)OC(=O)NCC1COCC1n1cc(CN)nn1,69754,O=C(O)c1n[nH]cc1[N+](=O)[O-],2020049.0,O=C(O)c1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1CCO
O=C(NCc1cn(CC2CCCN2C(=O)C(=Cc2ccco2)n2nnnc2-c2ccccc2)nn1)C(=Cc1ccco1)n1nnnc1-c1ccccc1,85064,1,93,-159.4049835205078,-159.4049835205078,1,275592,26368030,CC(C)(C)OC(=O)N1CCCC1Cn1cc(CN)nn1,14409,O=C(O)C(=Cc1ccco1)n1nnnc1-c1ccccc1,14409.0,O=C(O)C(=Cc1ccco1)n1nnnc1-c1ccccc1
NC(=O)c1ccccc1Oc1ncccc1C(=O)N(CCCNC(=O)c1ccc(Cn2cnc([N+](=O)[O-])n2)cc1)Cc1ccccc1,85855,1,382,-159.25482177734375,-159.25482177734375,1,275592,11309424,CC(C)(C)OC(=O)NCCCNCc1ccccc1,8417524,NC(=O)c1ccccc1Oc1ncccc1C(=O)O,3575154.0,O=C(O)c1ccc(Cn2cnc([N+](=O)[O-])n2)cc1
Nc1c(C(=O)NCc2cn(C3CCN(C(=O)C(=Cc4ccco4)n4nnnc4-c4ccccc4)CC3)nn2)cnn1-c1ccc([N+](=O)[O-])cc1,85330,1,188,-158.6016082763672,-158.6016082763672,1,275592,23024351,CC(C)(C)OC(=O)NCc1cn(C2CCNCC2)nn1,14409,O=C(O)C(=Cc1ccco1)n1nnnc1-c1ccccc1,3943429.0,Nc1c(C(=O)O)cnn1-c1ccc([N+](=O)[O-])cc1
[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)NNC(=O)c2ccc(-n3cnnn3)cc2)c1,86069,1,459,-158.5605926513672,-158.5605926513672,1,22,13904,NNC(=O)c1ccc(-n2cnnn2)cc1,11297023,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)O)c1,,
O=C(NCc1nnc(C2CCCN(C(=O)c3cc([N+](=O)[O-])cnc3O)C2)[nH]1)c1cc([N+](=O)[O-])cnc1O,84847,1,14,-158.5308380126953,-158.5308380126953,1,275592,27030975,CC(C)(C)OC(=O)NCc1nnc(C2CCCNC2)[nH]1,37972,O=C(O)c1cc([N+](=O)[O-])cnc1O,37972.0,O=C(O)c1cc([N+](=O)[O-])cnc1O
CCOc1nc2cccc(C(=O)NNC(=O)c3cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,86023,0,443,-158.47293090820312,0.0,1,22,8617323,Cc1c([N+](=O)[O-])cc(C(=O)NN)cc1[N+](=O)[O-],4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
[N-]=[N+]=Nc1ccc(C(=O)NCc2cn(CC3CCCN3C(=O)c3cnc(O)c([N+](=O)[O-])c3)nn2)cc1,85281,1,170,-158.38096618652344,-158.38096618652344,1,275592,26368030,CC(C)(C)OC(=O)N1CCCC1Cn1cc(CN)nn1,87648,[N-]=[N+]=Nc1ccc(C(=O)O)cc1,2793539.0,O=C(O)c1cnc(O)c([N+](=O)[O-])c1
Cn1nnnc1Sc1ccc([N+](=O)[O-])cc1C(=O)NCCn1cc(CNC(=O)c2cn[nH]c2-n2cnnn2)nn1,84933,1,45,-158.31866455078125,-158.31866455078125,1,275592,26287805,CC(C)(C)OC(=O)NCc1cn(CCN)nn1,9648,Cn1nnnc1Sc1ccc([N+](=O)[O-])cc1C(=O)O,2794310.0,O=C(O)c1cn[nH]c1-n1cnnn1
NC(=O)CNS(=O)(=O)c1ccc(C(=O)NCc2cn(C3COCC3CNC(=O)c3cnc(O)c([N+](=O)[O-])c3)nn2)o1,85808,1,366,-158.2971649169922,-158.2971649169922,1,275592,26057533,CC(C)(C)OC(=O)NCC1COCC1n1cc(CN)nn1,3575462,NC(=O)CNS(=O)(=O)c1ccc(C(=O)O)o1,2793539.0,O=C(O)c1cnc(O)c([N+](=O)[O-])c1
Cn1cc(CN(C(=O)c2cc([N+](=O)[O-])[nH]n2)C2CCN(C(=O)c3cc(O)ccc3NC(=O)COc3ccccc3)C2)c(=O)n(C)c1=O,85526,1,261,-158.1741485595703,-158.1741485595703,1,275592,15328976,Cn1cc(CNC2CCN(C(=O)OC(C)(C)C)C2)c(=O)n(C)c1=O,57653,O=C(O)c1cc([N+](=O)[O-])[nH]n1,2806147.0,O=C(COc1ccccc1)Nc1ccc(O)cc1C(=O)O
Nc1nc(C(=O)NC2COCC2C(NC(=O)c2cn[nH]c2Cc2cccc([N+](=O)[O-])c2)c2ccccc2)ccc1[N+](=O)[O-],85414,1,220,-158.14381408691406,-158.14381408691406,1,275592,26020705,CC(C)(C)OC(=O)NC1COCC1C(N)c1ccccc1,26699993,O=C(O)c1cn[nH]c1Cc1cccc([N+](=O)[O-])c1,3624789.0,Nc1nc(C(=O)O)ccc1[N+](=O)[O-]
O=C(CCc1c[nH]nn1)NCc1cn(-c2cccc(CNC(=O)c3cn[nH]c3-n3cnnn3)c2)nn1,85498,1,249,-158.1370086669922,-158.1370086669922,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,2794310,O=C(O)c1cn[nH]c1-n1cnnn1,22127510.0,O=C(O)CCc1c[nH]nn1
O=C(NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1)c1c2c(nc3ccccc13)C(=Cc1ccc3c(c1)OCO3)CCC2,85153,1,124,-158.1175079345703,-158.1175079345703,1,240690,26708129,NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1,5474,O=C(O)c1c2c(nc3ccccc13)C(=Cc1ccc3c(c1)OCO3)CCC2,,
NC(=O)CNS(=O)(=O)c1ccc(C(=O)NCC2COCC2n2cc(CNC(=O)c3cnc(O)c([N+](=O)[O-])c3)nn2)o1,85809,0,366,-158.1155242919922,0.0,1,275592,26057533,CC(C)(C)OC(=O)NCC1COCC1n1cc(CN)nn1,2793539,O=C(O)c1cnc(O)c([N+](=O)[O-])c1,3575462.0,NC(=O)CNS(=O)(=O)c1ccc(C(=O)O)o1
CCOc1nc2cccc(C(=O)N(N)C(=O)c3ccc(Cn4nnc(-c5ccccc5)n4)cc3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,84810,1,1,-158.02513122558594,-158.02513122558594,1,22,4060,NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1,4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
Cn1nnnc1Sc1ccc([N+](=O)[O-])cc1C(=O)NCc1cn(CCNC(=O)c2cn[nH]c2-n2cnnn2)nn1,84934,0,45,-157.94874572753906,0.0,1,275592,26287805,CC(C)(C)OC(=O)NCc1cn(CCN)nn1,2794310,O=C(O)c1cn[nH]c1-n1cnnn1,9648.0,Cn1nnnc1Sc1ccc([N+](=O)[O-])cc1C(=O)O
Nc1nnnn1-c1cccc(C(=O)N2CC(c3ocnc3CNC(=O)c3cc(-c4ccc([N+](=O)[O-])cc4)n[nH]3)C2)c1,85292,1,174,-157.93614196777344,-157.93614196777344,1,275592,26045818,CC(C)(C)OC(=O)N1CC(c2ocnc2CN)C1,43840,O=C(O)c1cc(-c2ccc([N+](=O)[O-])cc2)n[nH]1,23691556.0,Nc1nnnn1-c1cccc(C(=O)O)c1
O=C(CCc1c[nH]nn1)NCc1cccc(-n2cc(CNC(=O)c3cn[nH]c3-n3cnnn3)nn2)c1,85497,0,249,-157.9077606201172,0.0,1,275592,24350105,CC(C)(C)OC(=O)NCc1cn(-c2cccc(CN)c2)nn1,22127510,O=C(O)CCc1c[nH]nn1,2794310.0,O=C(O)c1cn[nH]c1-n1cnnn1
CCOc1nc2cccc(C(=O)NCc3cnc(O)nc3O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,85632,1,302,-157.8433380126953,-157.8433380126953,1,22,3588476,NCc1cnc(O)nc1O,4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
Cn1nnnc1Sc1ccc(C(=O)NCc2cn(C3CCCN(C(=O)c4ccc(Sc5nnnn5C)c([N+](=O)[O-])c4)C3)nn2)cc1[N+](=O)[O-],84985,1,64,-157.66091918945312,-157.66091918945312,1,275592,21928749,CC(C)(C)OC(=O)NCc1cn(C2CCCNC2)nn1,9617,Cn1nnnc1Sc1ccc(C(=O)O)cc1[N+](=O)[O-],9617.0,Cn1nnnc1Sc1ccc(C(=O)O)cc1[N+](=O)[O-]
O=C(NCc1cc(O)nc(CNC(=O)c2cn[nH]c2-n2cnnn2)n1)c1cn[nH]c1-n1cnnn1,84838,1,11,-157.5900421142578,-157.5900421142578,1,275592,22976339,CC(C)(C)OC(=O)NCc1cc(O)nc(CN)n1,2794310,O=C(O)c1cn[nH]c1-n1cnnn1,2794310.0,O=C(O)c1cn[nH]c1-n1cnnn1
O=C1NCC(Cn2cc(C(=O)N3CC(NC(=O)c4ccc(Cn5cc([N+](=O)[O-])cn5)cc4)C(n4ccnn4)C3)nn2)O1,85817,1,369,-157.5054473876953,-157.5054473876953,1,275592,24278857,CC(C)(C)OC(=O)N1CC(N)C(n2ccnn2)C1,3575118,O=C(O)c1ccc(Cn2cc([N+](=O)[O-])cn2)cc1,4745043.0,O=C1NCC(Cn2cc(C(=O)O)nn2)O1
O=C(NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1)c1cc([N+](=O)[O-])ccc1Sc1nnnn1-c1ccccc1,84823,1,6,-157.44175720214844,-157.44175720214844,1,240690,26708129,NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1,9798,O=C(O)c1cc([N+](=O)[O-])ccc1Sc1nnnn1-c1ccccc1,,
O=C(NCC(NC(=O)c1cn[nH]c1Cc1cccc([N+](=O)[O-])c1)c1cc(F)cc(Cl)c1)c1ccccc1-n1cnnn1,86029,1,445,-157.42694091796875,-157.42694091796875,1,275592,26168592,CC(C)(C)OC(=O)NC(CN)c1cc(F)cc(Cl)c1,14499,O=C(O)c1ccccc1-n1cnnn1,26699993.0,O=C(O)c1cn[nH]c1Cc1cccc([N+](=O)[O-])c1
O=C(NC(CNC(=O)c1cn[nH]c1Cc1cccc([N+](=O)[O-])c1)c1cc(F)cc(Cl)c1)c1ccccc1-n1cnnn1,86030,0,445,-157.39329528808594,0.0,1,275592,26168592,CC(C)(C)OC(=O)NC(CN)c1cc(F)cc(Cl)c1,26699993,O=C(O)c1cn[nH]c1Cc1cccc([N+](=O)[O-])c1,14499.0,O=C(O)c1ccccc1-n1cnnn1
Cn1ccnc1C1CN(C(=O)c2cccnc2Oc2ccccc2C(N)=O)CC1NC(=O)c1cc(O)ccc1NC(=O)COc1ccccc1,85284,1,171,-157.28094482421875,-157.28094482421875,1,275592,26057481,Cn1ccnc1C1CNCC1NC(=O)OC(C)(C)C,8417524,NC(=O)c1ccccc1Oc1ncccc1C(=O)O,2806147.0,O=C(COc1ccccc1)Nc1ccc(O)cc1C(=O)O
CSCCC(NC(=O)c1ccc([N+](=O)[O-])o1)C(=O)NC(c1ccccc1)C1COCC1NC(=O)c1nn(-c2cc(Cl)ccc2[N+](=O)[O-])cc1O,85617,1,296,-157.24717712402344,-157.24717712402344,1,275592,26020705,CC(C)(C)OC(=O)NC1COCC1C(N)c1ccccc1,10171,CSCCC(NC(=O)c1ccc([N+](=O)[O-])o1)C(=O)O,2735465.0,O=C(O)c1nn(-c2cc(Cl)ccc2[N+](=O)[O-])cc1O
Cc1nn(-c2cncc3nnnn23)c(C)c1CC(=O)NCc1ccc(CCNC(=O)c2nc3cc(O)ccc3[nH]2)cc1,85928,1,409,-157.2322235107422,-157.2322235107422,1,275592,2078747,CC(C)(C)OC(=O)NCCc1ccc(CN)cc1,10990201,Cc1nn(-c2cncc3nnnn23)c(C)c1CC(=O)O,3534605.0,O=C(O)c1nc2cc(O)ccc2[nH]1
O=C(NCC(Cc1ccccc1)C1CCCCN1C(=O)COc1ccc(-n2cnnn2)cc1)c1cc(O)cc([N+](=O)[O-])c1,85472,1,240,-157.16433715820312,-157.16433715820312,1,275592,2810319,CC(C)(C)OC(=O)NCC(Cc1ccccc1)C1CCCCN1,2048283,O=C(O)COc1ccc(-n2cnnn2)cc1,2791855.0,O=C(O)c1cc(O)cc([N+](=O)[O-])c1
[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)N(N)C(=O)c2ccc(-n3cnnn3)cc2)c1,86068,0,459,-157.16407775878906,0.0,1,22,13904,NNC(=O)c1ccc(-n2cnnn2)cc1,11297023,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)O)c1,,
CC(Cn1cc(CNC(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])nn1)NC(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],85067,1,94,-157.14964294433594,-157.14964294433594,1,275592,26376744,CC(Cn1cc(CN)nn1)NC(=O)OC(C)(C)C,456,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],456.0,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
Nc1nnnn1-c1cccc(C(=O)NCCN(CCc2ccccc2)C(=O)c2c([N+](=O)[O-])cnn2CC(F)F)c1,85858,1,383,-157.05697631835938,-157.05697631835938,1,275592,17655876,CC(C)(C)OC(=O)NCCNCCc1ccccc1,19198810,O=C(O)c1c([N+](=O)[O-])cnn1CC(F)F,23691556.0,Nc1nnnn1-c1cccc(C(=O)O)c1
Nc1ncc(C(=O)N2CCCC2Cn2cc(CNC(=O)c3cc([N+](=O)[O-])cnc3O)nn2)cc1[N+](=O)[O-],85207,1,143,-157.0066680908203,-157.0066680908203,1,275592,26368030,CC(C)(C)OC(=O)N1CCCC1Cn1cc(CN)nn1,37972,O=C(O)c1cc([N+](=O)[O-])cnc1O,3061566.0,Nc1ncc(C(=O)O)cc1[N+](=O)[O-]
COc1cc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N(N)C(=O)c2ccc(Cn3nnc(-c4ccccc4)n3)cc2)ccc1NC(C)=O,84888,1,29,-156.9904327392578,-156.9904327392578,1,22,4060,NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1,31555,COc1cc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)ccc1NC(C)=O,,
CCOc1nc2cccc(C(=O)NNC(=O)c3ccc(Cn4nnc(-c5ccccc5)n4)cc3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,84811,1,1,-156.89053344726562,-156.89053344726562,1,22,4060,NNC(=O)c1ccc(Cn2nnc(-c3ccccc3)n2)cc1,4019732,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,
O=C(Cn1nnc(-c2ccco2)n1)NCc1ccc(CN2CCN(C(=O)c3cc(-c4ccc5c(c4)OCO5)[nH]n3)CC2)cc1,85701,1,328,-156.8518829345703,-156.8518829345703,1,275592,18121871,CC(C)(C)OC(=O)N1CCN(Cc2ccc(CN)cc2)CC1,254789,O=C(O)Cn1nnc(-c2ccco2)n1,66811.0,O=C(O)c1cc(-c2ccc3c(c2)OCO3)[nH]n1
O=C(NCc1ccc(F)cc1)c1nccnc1C(=O)NCc1cn(C2CCN(C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C2)nn1,85253,1,160,-156.76077270507812,-156.76077270507812,1,275592,24286150,CC(C)(C)OC(=O)NCc1cn(C2CCNC2)nn1,416,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,685438.0,O=C(O)c1nccnc1C(=O)NCc1ccc(F)cc1
NCC(c1ccc2ccccc2c1)N(C(=O)c1c2c(nc3ccccc13)C(=Cc1ccc3c(c1)OCO3)CCC2)C(=O)C1CCc2nnnn2CC1,85154,0,124,-156.74647521972656,0.0,1,240690,26708129,NCC(NC(=O)C1CCc2nnnn2CC1)c1ccc2ccccc2c1,5474,O=C(O)c1c2c(nc3ccccc13)C(=Cc1ccc3c(c1)OCO3)CCC2,,
COC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)OCC(=O)Nc1cc(-n2nnnc2C2CC2)ccc1F,85294,1,175,-156.67718505859375,-156.67718505859375,1,1458,2414462,COC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,10011130,O=C(CCl)Nc1cc(-n2nnnc2C2CC2)ccc1F,,
O=C(CCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])NCc1nnc2n1CCN(C(=O)CCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C2,85018,1,76,-156.6751251220703,-156.6751251220703,1,275592,26611428,CC(C)(C)OC(=O)NCc1nnc2n1CCNC2,26628599,O=C(O)CCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],26628599.0,O=C(O)CCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
O=C(Cn1nnc(COc2ccccc2)n1)NCc1ccc(CCNC(=O)C(O)c2ccc(O)c([N+](=O)[O-])c2)cc1,85569,1,278,-156.66477966308594,-156.66477966308594,1,275592,2078747,CC(C)(C)OC(=O)NCCc1ccc(CN)cc1,38020,O=C(O)Cn1nnc(COc2ccccc2)n1,7134331.0,O=C(O)C(O)c1ccc(O)c([N+](=O)[O-])c1
O=C(Nc1ccc(C(=O)N2CCC(CN(Cc3cccnc3)C(=O)c3cncc(-n4cnnn4)c3)C2)c(O)c1)c1cc(F)cc(F)c1,85461,1,236,-156.6470489501953,-156.6470489501953,1,275592,11474955,CC(C)(C)OC(=O)N1CCC(CNCc2cccnc2)C1,6842663,O=C(O)c1cncc(-n2cnnn2)c1,2016858.0,O=C(Nc1ccc(C(=O)O)c(O)c1)c1cc(F)cc(F)c1
